source_table,genus,Topt,stem_gc_fraction
gc16S,RENIBACTERIUM,16.5,0.666
gc16S,RHODOCOCCUS,20.0,0.698
gc16S,BROCHOTHRIX,22.5,0.626
gc16S,FLAVOBACTERIUM,22.5,0.607
gc16S,CAULOBACTER,22.5,0.662
gc16S,NITROSPIRA,25.0,0.701
gc16S,LEPTOTHRIX,25.0,0.658
gc16S,LEUCONOSTOC,25.0,0.604
gc16S,NITROSPINA,25.0,0.659
gc16S,NITROCOCCUS,25.0,0.664
gc16S,XENORHABDUS,25.0,0.651
gc16S,CYTOPHAGA,25.25,0.587
gc16S,CURTOBACTERIUM,25.5,0.681
gc16S,AEROMONAS,25.75,0.653
gc16S,HALISCOMENOBACTER,26.0,0.624
gc16S,GEODERMATOPHILUS,26.0,0.72
gc16S,SPOROCYTOPHAGA,26.0,0.586
gc16S,AGROBACTERIUM,26.5,0.66
gc16S,THIOMICROSPIRA,27.0,0.601
gc16S,AUREOBACTERIUM,27.0,0.677
gc16S,NITROSOMONAS,27.5,0.627
gc16S,NITROSOLOBUS,27.5,0.663
gc16S,KURTHIA,27.5,0.625
gc16S,GLUCONOBACTER,27.5,0.664
gc16S,NITROSOCOCCUS,27.5,0.677
gc16S,ERYTHROBACTER,27.5,0.638
gc16S,NITROSOVIBRIO,27.5,0.661
gc16S,ARTHROBACTER,27.5,0.695
gc16S,BRADYRHIZOBIUM,27.5,0.673
gc16S,ACETOBACTER,27.5,0.665
gc16S,HYPHOMICROBIUM,28.0,0.674
gc16S,NOCARDIOIDES,28.0,0.69
gc16S,CORYNEBACTERIUM,28.09,0.677
gc16S,FLEXIBACTER,28.12,0.605
gc16S,MYXOCOCCUS,28.38,0.686
gc16S,YERSINIA,28.5,0.639
gc16S,ERWINIA,28.5,0.631
gc16S,PARACOCCUS,28.75,0.679
gc16S,CHROMOBACTERIUM,28.75,0.65
gc16S,SYNECHOCYSTIS,29.0,0.62
gc16S,BDELLOVIBRIO,29.0,0.622
gc16S,CHROMATIUM,29.0,0.696
gc16S,CHONDROMYCES,29.0,0.698
gc16S,CYSTOBACTER,29.0,0.689
gc16S,BREVIBACTERIUM,29.2,0.678
gc16S,BEIJERINCKIA,29.5,0.664
gc16S,RHODOPSEUDOMONAS,29.64,0.681
gc16S,STIGMATELLA,30.0,0.694
gc16S,METHYLOMONAS,30.0,0.629
gc16S,POLYANGIUM,30.0,0.694
gc16S,MICROBACTERIUM,30.0,0.675
gc16S,RHODOMICROBIUM,30.0,0.67
gc16S,RHODOCYCLUS,30.0,0.666
gc16S,MELITTANGIUM,30.0,0.69
gc16S,DESULFOBACTER,30.0,0.628
gc16S,AGROMYCES,30.0,0.678
gc16S,MICROCOCCUS,30.31,0.692
gc16S,OCEANOSPIRILLUM,30.33,0.635
gc16S,DESULFOSARCINA,30.5,0.644
gc16S,SAPROSPIRA,30.88,0.617
gc16S,PHYLLOBACTERIUM,31.0,0.677
gc16S,AQUASPIRILLUM,31.17,0.666
gc16S,PLANCTOMYCES,31.25,0.677
gc16S,HYPHOMONAS,31.4,0.643
gc16S,RHODOBACTER,31.4,0.672
gc16S,BLASTOBACTER,31.83,0.666
gc16S,PECTINATUS,32.0,0.649
gc16S,PLANOCOCCUS,32.0,0.662
gc16S,PEDIOCOCCUS,32.08,0.597
