source_table,genus,Topt,stem_gc_fraction
gctRNA,Acetobacter,28,0.63
gctRNA,ACHOLEPLASMA,37,0.579
gctRNA,Actinobacillus,37,0.645
gctRNA,AEROMONAS,26,0.609
gctRNA,AGROBACTERIUM,26,0.558
gctRNA,BACILLUS,60,0.597
gctRNA,Bacteroides,37,0.616
gctRNA,BORDETELLA,36,0.624
gctRNA,Bradyrhizobium,28,0.604
gctRNA,Brucella,37,0.627
gctRNA,CAMPYLOBACTER,35,0.575
gctRNA,CAULOBACTER,22,0.586
gctRNA,CLOSTRIDIUM,38,0.6
gctRNA,Curtobacterium,26,0.636
gctRNA,ESCHERICHIA,37,0.608
gctRNA,HAEMOPHILUS,36,0.573
gctRNA,Haloarcula,39,0.64
gctRNA,HALOBACTERIUM,47,0.622
gctRNA,HALOCOCCUS,34,0.569
gctRNA,HALOFERAX,39,0.632
gctRNA,Leuconostoc,25,0.562
gctRNA,Listeria,34,0.613
gctRNA,METHANOBACTERIUM,50,0.697
gctRNA,METHANOCOCCUS,48,0.612
gctRNA,Methanosarcina,40,0.589
gctRNA,METHANOSPIRILLUM,34,0.658
gctRNA,METHANOTHERMUS,84,0.653
gctRNA,METHANOTHRIX,38,0.644
gctRNA,Micrococcus,30,0.633
gctRNA,MYCOBACTERIUM,36,0.676
gctRNA,MYCOPLASMA,37,0.557
gctRNA,Natronobacterium,41,0.587
gctRNA,Natronococcus,38,0.592
gctRNA,Neisseria,36,0.58
gctRNA,PSEUDOMONAS,33,0.574
gctRNA,Pyrococcus,98,0.733
gctRNA,Rhodobacter,31,0.626
gctRNA,RHODOSPIRILLUM,36,0.62
gctRNA,SPIROPLASMA,33,0.548
gctRNA,STAPHYLOCOCCUS,34,0.567
gctRNA,Stigmatella,30,0.568
gctRNA,STREPTOCOCCUS,37,0.658
gctRNA,SULFOLOBUS,79,0.693
gctRNA,SYNECHOCYSTIS,29,0.607
gctRNA,THERMOCOCCUS,90,0.724
gctRNA,THERMOFILUM,88,0.692
gctRNA,THERMOPLASMA,57,0.611
gctRNA,THERMOPROTEUS,90,0.706
gctRNA,THERMUS,72,0.668
gctRNA,THIOBACILLUS,33,0.608
gctRNA,Treponema,38,0.52
