species,genus,species_epithet,GCw,Topt,thermal_group
Acetobacter liquefasciens,ACETOBACTER,liquefasciens,63.45,27.5,Non-termofil
Acetobacter aceti,ACETOBACTER,aceti,57.7,27.5,Non-termofil
Acetobacter hansenii,ACETOBACTER,hansenii,60.35,27.5,Non-termofil
Acetobacter pasteurianus,ACETOBACTER,pasteurianus,57.65,27.5,Non-termofil
Acetobacterium woodii,ACETOBACTERIUM,woodii,39.0,30.0,Non-termofil
Acetobacterium wieringae,ACETOBACTERIUM,wieringae,43.0,30.0,Non-termofil
Acetovibrio cellulolyticus,ACETOVIBRIO,cellulolyticus,38.0,35.0,Non-termofil
Acetovibrio ethanolgignens,ACETOVIBRIO,ethanolgignens,40.0,37.0,Non-termofil
Acholeplasma laidlawii,ACHOLEPLASMA,laidlawii,33.7,37.0,Non-termofil
Acidaminococcus fermentans,ACIDAMINOCOCCUS,fermentans,56.0,33.5,Non-termofil
Acidianus infernus,ACIDIANUS,infernus,31.0,87.5,Termofil
Acidianus brierleyi,ACIDIANUS,brierleyi,31.0,70.0,Termofil
Acidiphilium angustum,ACIDIPHILIUM,angustum,67.0,36.0,Non-termofil
Acidiphilium rubrum,ACIDIPHILIUM,rubrum,63.0,36.0,Non-termofil
Acidiphilium organovorum,ACIDIPHILIUM,organovorum,64.0,36.0,Non-termofil
Acidiphilium facilis,ACIDIPHILIUM,facilis,65.0,36.0,Non-termofil
Acidiphilium cryptum,ACIDIPHILIUM,cryptum,69.0,36.0,Non-termofil
Acinetobacter calcoaceticus,ACINETOBACTER,calcoaceticus,42.5,34.0,Non-termofil
Actinobacillus lignieresii,ACTINOBACILLUS,lignieresii,42.2,37.0,Non-termofil
Actinobacillus suis,ACTINOBACILLUS,suis,40.5,37.0,Non-termofil
Actinobacillus capsulatus,ACTINOBACILLUS,capsulatus,42.4,37.0,Non-termofil
Actinobacillus actinomycetemcomians,ACTINOBACILLUS,actinomycetemcomians,42.7,37.0,Non-termofil
Actinomadura madurae,ACTINOMADURA,madurae,67.1,32.5,Non-termofil
