species,Topt,group,GCw,GC_tRNA,GC_16S,GC_23S,label
Marinithermus hydrothermalis,67.5,Termofil,68.076,64.8,64.074,62.119,1
Caldimicrobium thiodismutans,75.0,Termofil,38.296,64.883,60.925,55.81,1
Caldicellulosiruptor owensensis,75.0,Termofil,35.439,60.365,58.48,58.547,1
Fervidobacterium nodosum,70.0,Termofil,34.989,62.208,60.206,58.64,1
Petrotoga mobilis,59.0,Termofil,34.123,60.043,54.3,52.877,1
Deferribacter desulfuricans,62.5,Termofil,30.311,62.837,59.367,57.291,1
Thermobacillus composti,50.0,Termofil,60.116,59.654,58.081,57.385,1
Thermogutta terrifontis,57.5,Termofil,57.34,61.944,59.391,57.46,1
Caldicellulosiruptor hydrothermalis,65.0,Termofil,36.115,59.926,58.681,58.437,1
Acidothermus cellulolyticus,55.0,Termofil,66.907,64.49,60.835,59.949,1
Fervidobacterium islandicum,65.0,Termofil,40.747,61.97,60.99,59.721,1
Marinitoga piezophila,65.0,Termofil,29.14,60.627,58.339,55.357,1
Caldicellulosiruptor changbaiensis,75.0,Termofil,35.121,60.033,58.083,58.89,1
Novibacillus thermophilus,50.0,Termofil,50.444,59.985,58.621,58.014,1
Mahella australiensis,50.0,Termofil,43.452,59.465,54.518,53.825,1
Geobacillus thermocatenulatus,70.0,Termofil,51.889,59.182,59.523,57.878,1
Chloroflexus aggregans,55.0,Termofil,56.428,61.741,64.337,64.26,1
Limnochorda pilosa,47.5,Termofil,69.731,64.714,63.655,62.905,1
Anoxybacillus amylolyticus,61.0,Termofil,43.616,59.423,56.296,55.121,1
Thermovibrio ammonificans,75.0,Termofil,52.13,66.694,63.412,62.388,1
Thermotoga naphthophila,80.0,Termofil,46.141,64.742,63.566,60.124,1
Thermochromatium tepidum,49.0,Termofil,63.413,61.599,58.252,56.765,1
Caldicellulosiruptor obsidiansis,78.0,Termofil,35.243,60.435,58.848,58.615,1
Bacillus coagulans,52.0,Termofil,46.235,59.064,56.099,54.242,1
Desulfurobacterium thermolithotrophum,70.0,Termofil,34.949,65.815,61.299,60.403,1
Meiothermus ruber,62.5,Termofil,63.384,60.978,57.549,56.827,1
Thermovirga lienii,58.0,Termofil,47.061,62.179,57.867,56.648,1
Pseudothermotoga lettingae,65.0,Termofil,38.697,63.072,60.207,54.55,1
Fervidobacterium pennivorans,80.0,Termofil,38.875,62.077,61.351,60.164,1
Thermus thermophilus,68.5,Termofil,68.99,66.227,64.06,63.463,1
Ammonifex degensii,70.0,Termofil,59.465,63.243,62.5,61.051,1
Flexistipes sinusarabici,47.5,Termofil,38.294,62.64,55.289,49.986,1
Caldicellulosiruptor saccharolyticus,70.0,Termofil,35.254,60.116,58.626,58.898,1
Desulfotomaculum nigrificans,55.0,Termofil,46.626,59.888,56.537,54.094,1
Bacillus methanolicus,55.0,Termofil,38.589,59.163,56.537,54.006,1
Defluviitoga tunisiensis,55.0,Termofil,31.375,59.946,55.267,53.215,1
Caldicellulosiruptor kronotskyensis,70.0,Termofil,35.096,60.34,58.395,58.687,1
Parageobacillus thermoglucosidasius,60.0,Termofil,43.891,59.136,58.377,56.596,1
Thermodesulfatator indicus,70.0,Termofil,42.425,64.869,61.972,61.578,1
Thermosediminibacter oceani,64.0,Termofil,46.82,60.669,60.057,58.353,1
Caldithrix abyssi,60.0,Termofil,45.096,60.864,56.984,52.235,1
Sphaerobacter thermophilus,55.0,Termofil,68.109,63.424,64.15,65.434,1
Thermomicrobium roseum,72.5,Termofil,64.285,64.611,65.836,68.228,1
Anoxybacter fermentans,61.0,Termofil,35.876,58.651,56.828,55.294,1
Thermotoga petrophila,80.0,Termofil,46.101,64.76,63.941,60.194,1
Thermosulfidibacter takaii,70.0,Termofil,43.016,66.491,62.365,61.9,1
