Genus_and_species,Taxonomy_ID,Strain,Superkingdom,Phylum,Class,Order,Family,Genus,Assembly_or_accession,Genome_GC(%),Genome_size(Mbp),16S_accession,16S_GC(%),Tmin(¸C),Topt_average(¸C),Topt_low(¸C),Topt_high(¸C),Tmax(¸C),Tmax-Tmin(¸C)
Marinithermus hydrothermalis,186192.0,T1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Marinithermus,GCA_000195335.1,68.1,2.3,AB079382,64.0,50.0,67.5,,,72.5,22.5
Caldimicrobium thiodismutans,1653476.0,TF1,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,GCA_001548275.1,38.3,1.8,LC055107,61.3,40.0,75.0,,,77.0,37.0
Caldicellulosiruptor owensensis,55205.0,OL,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166335.1,35.4,2.4,U80596,58.3,50.0,75.0,,,80.0,30.0
Fervidobacterium nodosum,2424.0,Rt17]B,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000017545.1,35.0,1.9,M59177,58.7,41.0,70.0,,,79.0,38.0
Petrotoga mobilis,69499.0,SJ95,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotoga,GCA_000018605.1,34.1,2.2,Y15479,54.3,40.0,59.0,58.0,60.0,65.0,25.0
Pseudothermotoga elfii,38322.0,SEBR 6459,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,GCA_000504085.1,38.7,2.2,X80790,59.5,50.0,66.0,,,72.0,22.0
Deferribacter desulfuricans,197162.0,BMA,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,GCA_000010985.1,30.3,2.5,AB086060,59.5,40.0,62.5,60.0,65.0,70.0,30.0
Thermobacillus composti,377615.0,KWC4,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,GCA_000227705.3,60.1,4.4,AB254031,58.0,32.0,50.0,,,61.0,29.0
Thermogutta terrifontis,1331910.0,R1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Thermogutta,GCA_002277955.1,57.3,4.8,KC867694,59.5,25.0,57.5,55.0,60.0,67.0,42.0
Caldicellulosiruptor hydrothermalis,413888.0,108,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166355.1,36.1,2.8,EF100908,58.9,50.0,65.0,,,80.0,30.0
Acidothermus cellulolyticus,28049.0,11B,Bacteria,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,GCA_000015025.1,66.9,2.4,NR_074501,60.8,37.0,55.0,,,65.0,28.0
Fervidobacterium islandicum,2423.0,H21,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000767275.3,40.7,2.2,M59176,60.6,50.0,65.0,,,80.0,30.0
Marinitoga piezophila,149715.0,KA3,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,GCA_000255135.1,29.2,2.2,AF326121,58.1,45.0,65.0,,,70.0,25.0
Caldicellulosiruptor changbaiensis,1222016.0,CBS-Z,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_003999255.1,35.1,2.9,JX280492,58.2,40.0,75.0,,,90.0,50.0
